,,Total Registered,Democratic,Republican,American Independent,Green,Libertarian,Peace and Freedom,Unknown,Other,No Party Preference
,San Fernando," 12,395"," 7,112"," 1,711", 326, 66, 113, 124, 80, 60," 2,803"
,San Gabriel," 19,542"," 8,867"," 3,706", 462, 64, 132, 156, 170, 88," 5,897"
,San Marino," 9,115"," 3,093"," 2,652", 191, 23, 57, 15, 50, 41," 2,993"
,Santa Clarita," 149,440"," 57,586"," 50,178"," 6,610", 576," 1,712", 574, 709, 896," 30,599"
,Santa Fe Springs," 11,386"," 6,140"," 2,242", 379, 52, 94, 87, 74, 76," 2,242"
,Santa Monica," 68,113"," 41,141"," 8,041"," 2,140", 421, 647, 273, 287, 502," 14,661"
,Sierra Madre," 8,487"," 4,087"," 2,134", 314, 52, 99, 27, 33, 64," 1,677"
,Signal Hill," 7,320"," 3,889"," 1,221", 285, 41, 82, 44, 38, 66," 1,654"
,South El Monte," 9,087"," 4,969"," 1,298", 261, 40, 74, 93, 61, 60," 2,231"
,South Gate," 46,586"," 28,038"," 5,691"," 1,060", 172, 377, 481, 339, 258," 10,170"
,South Pasadena," 17,552"," 10,134"," 2,534", 421, 95, 135, 65, 64, 128," 3,976"
,Temple City," 20,568"," 8,115"," 4,674", 494, 75, 124, 127, 150, 113," 6,696"
,Torrance," 93,210"," 39,658"," 26,728"," 3,268", 374, 890, 374, 388, 530," 21,000"
,Vernon, 112, 57, 19, 3, 0, 3, 0, 1, 1, 28
,Walnut," 19,410"," 7,535"," 4,799", 461, 58, 108, 71, 102, 97," 6,179"
,West Covina," 63,032"," 29,837"," 14,036"," 2,069", 295, 498, 525, 396, 696," 14,680"
,West Hollywood," 25,825"," 16,859"," 2,508", 731, 126, 231, 101, 124, 153," 4,992"
,Westlake Village," 6,353"," 2,549"," 2,103", 287, 19, 62, 9, 20, 50," 1,254"
,Whittier," 55,429"," 26,590"," 14,434"," 2,101", 274, 536, 369, 238, 324," 10,563"
,,,,,,,,,,,
,Unincorporated Area," 573,797"," 294,067"," 111,526"," 18,390"," 2,462"," 4,919"," 4,551"," 3,742"," 6,196"," 127,944"
Los Angeles Totals,," 5,668,603"," 2,976,209"," 1,025,622"," 181,301"," 26,298"," 49,018"," 42,235"," 37,101"," 53,708"," 1,277,111"
     Percent,,,52.50%,18.09%,3.20%,0.46%,0.86%,0.75%,0.65%,0.95%,22.53%
,,,,,,,,,,,
Madera,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 16,802"," 5,287"," 6,799", 735, 54, 200, 126, 106, 184," 3,311"
,County Supervisorial 2," 13,891"," 4,375"," 5,572", 599, 46, 151, 105, 103, 113," 2,827"
,County Supervisorial 3," 14,886"," 5,567"," 4,847", 663, 49, 151, 136, 106, 119," 3,248"
,County Supervisorial 4," 8,453"," 3,846"," 1,608", 327, 36, 88, 134, 73, 76," 2,265"
,County Supervisorial 5," 21,856"," 5,364"," 10,985"," 1,253", 106, 322, 91, 107, 254," 3,374"
,,,,,,,,,,,
,US Congressional 5," 24,111"," 5,953"," 12,138"," 1,360", 107, 358, 88, 108, 285," 3,714"
,US Congressional 13," 51,777"," 18,486"," 17,673"," 2,217", 184, 554, 504, 387, 461," 11,311"
,,,,,,,,,,,
,State Senate 4," 32,616"," 8,057"," 16,524"," 1,752", 133, 461, 123, 152, 366," 5,048"
,State Senate 14," 43,272"," 16,382"," 13,287"," 1,825", 158, 451, 469, 343, 380," 9,977"
,,,,,,,,,,,
,State Assembly 8," 34,106"," 8,585"," 17,010"," 1,816", 139, 469, 140, 164, 382," 5,401"
,State Assembly 27," 41,782"," 15,854"," 12,801"," 1,761", 152, 443, 452, 331, 364," 9,624"
,,,,,,,,,,,
,State Board of Equalization 1," 75,888"," 24,439"," 29,811"," 3,577", 291, 912, 592, 495, 746," 15,025"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Chowchilla," 6,188"," 1,851"," 2,553", 299, 21, 81, 39, 41, 55," 1,248"
,Madera," 25,168"," 10,311"," 6,714"," 1,054", 83, 259, 300, 204, 222," 6,021"
,,,,,,,,,,,
,Unincorporated Area," 44,532"," 12,277"," 20,544"," 2,224", 187, 572, 253, 250, 469," 7,756"
Madera Totals,," 75,888"," 24,439"," 29,811"," 3,577", 291, 912, 592, 495, 746," 15,025"
     Percent,,,32.20%,39.28%,4.71%,0.38%,1.20%,0.78%,0.65%,0.98%,19.80%
,,,,,,,,,,,
Marin,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 33,412"," 21,038"," 4,348"," 1,052", 205, 253, 82, 84, 267," 6,083"
,County Supervisorial 2," 36,799"," 24,289"," 3,799"," 1,160", 266, 298, 89, 73, 304," 6,521"
,County Supervisorial 3," 37,691"," 23,958"," 4,103"," 1,185", 207, 283, 86, 96, 260," 7,513"
,County Supervisorial 4," 28,967"," 18,266"," 3,620", 887, 212, 265, 104, 91, 235," 5,287"
,County Supervisorial 5," 33,227"," 18,634"," 5,887"," 1,280", 196, 347, 120, 95, 258," 6,410"
,,,,,,,,,,,
,US Congressional 2," 170,096"," 106,185"," 21,757"," 5,564"," 1,086"," 1,446", 481, 439," 1,324"," 31,814"
,,,,,,,,,,,
,State Senate 2," 170,096"," 106,185"," 21,757"," 5,564"," 1,086"," 1,446", 481, 439," 1,324"," 31,814"
,,,,,,,,,,,
,State Assembly 12," 170,096"," 106,185"," 21,757"," 5,564"," 1,086"," 1,446", 481, 439," 1,324"," 31,814"
,,,,,,,,,,,
,State Board of Equalization 2," 170,096"," 106,185"," 21,757"," 5,564"," 1,086"," 1,446", 481, 439," 1,324"," 31,814"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Belvedere," 1,613", 807, 329, 68, 5, 13, 0, 4, 8, 379
,Corte Madera," 7,106"," 4,521", 844, 191, 35, 71, 21, 10, 48," 1,365"
,Fairfax," 5,812"," 4,179", 313, 155, 93, 40, 14, 8, 60, 950
,Larkspur," 9,080"," 5,820"," 1,090", 292, 42, 77, 20, 18, 75," 1,646"
,Mill Valley," 10,638"," 7,344", 780, 311, 66, 67, 11, 29, 68," 1,962"
,Novato," 33,913"," 19,067"," 5,967"," 1,345", 190, 359, 117, 104, 266," 6,498"
,Ross," 1,735", 898, 307, 65, 7, 16, 1, 4, 18, 419
,San Anselmo," 9,515"," 6,659", 804, 287, 56, 69, 24, 23, 73," 1,520"
,San Rafael," 32,447"," 20,466"," 3,978", 982, 214, 249, 116, 102, 258," 6,082"
,Sausalito," 5,519"," 3,446", 595, 199, 35, 46, 17, 10, 40," 1,131"
,Tiburon," 6,650"," 3,734"," 1,098", 224, 22, 51, 10, 13, 51," 1,447"
,,,,,,,,,,,
,Unincorporated Area," 46,068"," 29,244"," 5,652"," 1,445", 321, 388, 130, 114, 359," 8,415"
Marin Totals,," 170,096"," 106,185"," 21,757"," 5,564"," 1,086"," 1,446", 481, 439," 1,324"," 31,814"
     Percent,,,62.43%,12.79%,3.27%,0.64%,0.85%,0.28%,0.26%,0.78%,18.70%
,,,,,,,,,,,
Mariposa,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 2,387", 896, 858, 119, 27, 43, 8, 6, 19, 411
,County Supervisorial 2," 2,276", 494," 1,163", 152, 6, 41, 7, 7, 27, 379
,County Supervisorial 3," 2,250", 521," 1,171", 124, 14, 38, 5, 5, 16, 356
,County Supervisorial 4," 2,227", 657, 999, 114, 13, 24, 10, 6, 26, 378
,County Supervisorial 5," 2,389", 578," 1,201", 117, 6, 39, 12, 6, 28, 402
,,,,,,,,,,,
,US Congressional 5," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
,,,,,,,,,,,
,State Senate 4," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
,,,,,,,,,,,
,State Assembly 8," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
,,,,,,,,,,,
,State Board of Equalization 1," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Unincorporated Area," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
Mariposa Totals,," 11,529"," 3,146"," 5,392", 626, 66, 185, 42, 30, 116," 1,926"
     Percent,,,27.29%,46.77%,5.43%,0.57%,1.60%,0.36%,0.26%,1.01%,16.71%
,,,,,,,,,,,
Mendocino,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 10,949"," 4,306"," 3,392", 508, 135, 178, 75, 52, 20," 2,283"
,County Supervisorial 2," 9,839"," 4,625"," 2,197", 432, 92, 160, 87, 33, 15," 2,198"
,County Supervisorial 3," 10,595"," 4,568"," 2,523", 610, 203, 167, 93, 47, 35," 2,349"
,County Supervisorial 4," 10,945"," 5,782"," 2,093", 540, 167, 126, 72, 30, 25," 2,110"
,County Supervisorial 5," 11,146"," 6,226"," 1,774", 470, 195, 141, 67, 33, 21," 2,219"
,,,,,,,,,,,
,US Congressional 2," 53,474"," 25,507"," 11,979"," 2,560", 792, 772, 394, 195, 116," 11,159"
,,,,,,,,,,,
,State Senate 2," 53,474"," 25,507"," 11,979"," 2,560", 792, 772, 394, 195, 116," 11,159"
,,,,,,,,,,,
,State Assembly 2," 53,474"," 25,507"," 11,979"," 2,560", 792, 772, 394, 195, 116," 11,159"
,,,,,,,,,,,
,State Board of Equalization 2," 53,474"," 25,507"," 11,979"," 2,560", 792, 772, 394, 195, 116," 11,159"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Fort Bragg," 3,853"," 2,055", 651, 201, 50, 44, 35, 17, 10, 790
,Point Arena, 299, 169, 23, 12, 9, 3, 3, 3, 1, 76
,Ukiah," 8,854"," 4,182"," 1,990", 377, 85, 147, 77, 30, 12," 1,954"
,Willits," 2,805"," 1,220", 649, 155, 53, 45, 21, 16, 9, 637
,,,,,,,,,,,
,Unincorporated Area," 37,663"," 17,881"," 8,666"," 1,815", 595, 533, 258, 129, 84," 7,702"
Mendocino Totals,," 53,474"," 25,507"," 11,979"," 2,560", 792, 772, 394, 195, 116," 11,159"
     Percent,,,47.70%,22.40%,4.79%,1.48%,1.44%,0.74%,0.36%,0.22%,20.87%
,,,,,,,,,,,
Merced,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 20,897"," 10,032"," 4,516", 745, 66, 205, 202, 36, 107," 4,988"
,County Supervisorial 2," 28,936"," 11,820"," 8,904"," 1,357", 156, 353, 212, 34, 200," 5,900"
,County Supervisorial 3," 27,197"," 10,332"," 8,741"," 1,272", 101, 311, 222, 39, 153," 6,026"
,County Supervisorial 4," 25,037"," 8,939"," 9,082"," 1,036", 91, 289, 191, 35, 127," 5,247"
,County Supervisorial 5," 26,695"," 12,211"," 6,923"," 1,126", 107, 323, 246, 37, 152," 5,570"
,,,,,,,,,,,
,US Congressional 13," 128,762"," 53,334"," 38,166"," 5,536", 521," 1,481"," 1,073", 181, 739," 27,731"
,,,,,,,,,,,
,State Senate 4," 12,246"," 3,962"," 5,025", 484, 36, 128, 83, 20, 60," 2,448"
,State Senate 14," 116,516"," 49,372"," 33,141"," 5,052", 485," 1,353", 990, 161, 679," 25,283"
,,,,,,,,,,,
,State Assembly 22," 10,255"," 2,818"," 4,942", 487, 29, 110, 55, 13, 41," 1,760"
,State Assembly 27," 118,507"," 50,516"," 33,224"," 5,049", 492," 1,371"," 1,018", 168, 698," 25,971"
,,,,,,,,,,,
,State Board of Equalization 1," 128,762"," 53,334"," 38,166"," 5,536", 521," 1,481"," 1,073", 181, 739," 27,731"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Atwater," 15,102"," 5,804"," 4,725", 747, 50, 182, 123, 17, 78," 3,376"
,Dos Palos," 2,509"," 1,058", 738, 81, 7, 32, 21, 5, 17, 550
,Gustine," 2,737"," 1,096", 884, 136, 14, 26, 16, 2, 12, 551
,Livingston," 6,434"," 3,358"," 1,038", 198, 20, 64, 41, 9, 25," 1,681"
,Los Banos," 21,134"," 10,090"," 4,973", 920, 94, 259, 201, 30, 118," 4,449"
,Merced," 40,642"," 17,990"," 10,469"," 1,822", 219, 501, 364, 63, 289," 8,925"
,,,,,,,,,,,
,Unincorporated Area," 40,204"," 13,938"," 15,339"," 1,632", 117, 417, 307, 55, 200," 8,199"
Merced Totals,," 128,762"," 53,334"," 38,166"," 5,536", 521," 1,481"," 1,073", 181, 739," 27,731"
     Percent,,,41.42%,29.64%,4.30%,0.40%,1.15%,0.83%,0.14%,0.57%,21.54%
,,,,,,,,,,,
Modoc,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 1,050", 232, 564, 55, 5, 18, 3, 3, 3, 167
,County Supervisorial 2," 1,032", 203, 554, 71, 3, 24, 3, 4, 3, 167
,County Supervisorial 3, 920, 183, 493, 71, 6, 7, 7, 3, 3, 147
,County Supervisorial 4," 1,107", 191, 641, 75, 3, 12, 2, 2, 3, 178
,County Supervisorial 5, 950, 161, 601, 53, 3, 9, 4, 3, 2, 114
,,,,,,,,,,,
,US Congressional 1," 5,059", 970," 2,853", 325, 20, 70, 19, 15, 14, 773
,,,,,,,,,,,
,State Senate 1," 5,059", 970," 2,853", 325, 20, 70, 19, 15, 14, 773
,,,,,,,,,,,
,State Assembly 1," 5,059", 970," 2,853", 325, 20, 70, 19, 15, 14, 773
,,,,,,,,,,,
,State Board of Equalization 1," 5,059", 970," 2,853", 325, 20, 70, 19, 15, 14, 773
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Alturas," 1,461", 317, 726, 120, 9, 21, 8, 7, 3, 250
,,,,,,,,,,,
,Unincorporated Area," 3,598", 653," 2,127", 205, 11, 49, 11, 8, 11, 523
Modoc Totals,," 5,059", 970," 2,853", 325, 20, 70, 19, 15, 14, 773
     Percent,,,19.17%,56.39%,6.42%,0.40%,1.38%,0.38%,0.30%,0.28%,15.28%
,,,,,,,,,,,
Mono,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 1,260", 584, 245, 45, 20, 22, 8, 0, 9, 327
,County Supervisorial 2," 1,956", 712, 715, 109, 8, 28, 11, 1, 10, 362
,County Supervisorial 3," 1,635", 677, 455, 66, 12, 17, 7, 1, 14, 386
,County Supervisorial 4," 1,171", 341, 503, 63, 8, 21, 6, 0, 8, 221
,County Supervisorial 5," 1,479", 651, 348, 74, 11, 19, 14, 0, 8, 354
,,,,,,,,,,,
,US Congressional 3," 7,501"," 2,965"," 2,266", 357, 59, 107, 46, 2, 49," 1,650"
,,,,,,,,,,,
,State Senate 4," 7,501"," 2,965"," 2,266", 357, 59, 107, 46, 2, 49," 1,650"
,,,,,,,,,,,
,State Assembly 8," 7,501"," 2,965"," 2,266", 357, 59, 107, 46, 2, 49," 1,650"
,,,,,,,,,,,
,State Board of Equalization 1," 7,501"," 2,965"," 2,266", 357, 59, 107, 46, 2, 49," 1,650"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Mammoth Lakes," 3,826"," 1,689", 882, 168, 35, 55, 31, 0, 31, 935
,,,,,,,,,,,
,Unincorporated Area," 3,675"," 1,276"," 1,384", 189, 24, 52, 15, 2, 18, 715
Mono Totals,," 7,501"," 2,965"," 2,266", 357, 59, 107, 46, 2, 49," 1,650"
     Percent,,,39.53%,30.21%,4.76%,0.79%,1.43%,0.61%,0.03%,0.65%,22.00%
,,,,,,,,,,,
Monterey,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 33,820"," 19,262"," 4,736", 861, 136, 292, 343, 337, 58," 7,795"
,County Supervisorial 2," 42,706"," 21,978"," 8,949"," 1,517", 211, 458, 302, 387, 94," 8,810"
,County Supervisorial 3," 32,427"," 16,867"," 6,449", 972, 105, 270, 291, 343, 49," 7,081"
,County Supervisorial 4," 45,353"," 22,900"," 9,529"," 1,750", 288, 489, 278, 402, 102," 9,615"
,County Supervisorial 5," 57,265"," 28,145"," 14,123"," 2,384", 349, 625, 170, 339, 192," 10,938"
,,,,,,,,,,,
,US Congressional 18," 109,793"," 58,805"," 20,237"," 3,280", 448, 991, 943," 1,078", 191," 23,820"
,US Congressional 19," 101,778"," 50,347"," 23,549"," 4,204", 641," 1,143", 441, 730, 304," 20,419"
,,,,,,,,,,,
,State Senate 17," 211,571"," 109,152"," 43,786"," 7,484"," 1,089"," 2,134"," 1,384"," 1,808", 495," 44,239"
,,,,,,,,,,,
,State Assembly 29," 123,787"," 65,057"," 24,282"," 3,852", 532," 1,163"," 1,002"," 1,185", 228," 26,486"
,State Assembly 30," 87,784"," 44,095"," 19,504"," 3,632", 557, 971, 382, 623, 267," 17,753"
,,,,,,,,,,,
,State Board of Equalization 2," 211,571"," 109,152"," 43,786"," 7,484"," 1,089"," 2,134"," 1,384"," 1,808", 495," 44,239"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Carmel-by-the-Sea," 2,464"," 1,209", 643, 104, 9, 24, 4, 10, 11, 450
,Del Rey Oaks," 1,198", 569, 307, 57, 8, 18, 3, 6, 5, 225
,Gonzales," 3,658"," 2,113", 579, 97, 12, 17, 30, 35, 7, 768
,Greenfield," 6,207"," 3,648", 816, 163, 15, 37, 62, 76, 6," 1,384"
,King City," 4,287"," 2,102", 860, 166, 14, 52, 42, 40, 5," 1,006"
,Marina," 12,703"," 6,411"," 2,431", 492, 70, 120, 83, 118, 25," 2,953"
,Monterey," 15,834"," 8,380"," 3,085", 664, 109, 202, 77, 132, 63," 3,122"
,Pacific Grove," 10,282"," 5,876"," 1,733", 381, 79, 99, 24, 61, 39," 1,990"
,Salinas," 67,957"," 37,069"," 11,782"," 1,958", 283, 605, 588, 648, 131," 14,893"
,Sand City, 232, 113, 52, 15, 1, 2, 2, 3, 2, 42
,Seaside," 14,509"," 7,647"," 2,513", 580, 114, 177, 102, 141, 33," 3,202"
,Soledad," 8,500"," 4,783"," 1,276", 199, 30, 64, 87, 98, 14," 1,949"
,,,,,,,,,,,
,Unincorporated Area," 63,740"," 29,232"," 17,709"," 2,608", 345, 717, 280, 440, 154," 12,255"
Monterey Totals,," 211,571"," 109,152"," 43,786"," 7,484"," 1,089"," 2,134"," 1,384"," 1,808", 495," 44,239"
     Percent,,,51.59%,20.70%,3.54%,0.51%,1.01%,0.65%,0.85%,0.23%,20.91%
,,,,,,,,,,,
Napa,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 14,713"," 7,904"," 2,672", 582, 102, 209, 92, 86, 93," 2,973"
,County Supervisorial 2," 18,623"," 9,231"," 4,581", 784, 97, 221, 72, 90, 86," 3,461"
,County Supervisorial 3," 16,378"," 8,142"," 3,877", 712, 91, 221, 38, 76, 86," 3,135"
,County Supervisorial 4," 16,810"," 8,130"," 4,151", 742, 114, 219, 85, 84, 110," 3,175"
,County Supervisorial 5," 17,118"," 8,951"," 3,181", 608, 74, 155, 122, 111, 84," 3,832"
,,,,,,,,,,,
,US Congressional 4," 83,642"," 42,358"," 18,462"," 3,428", 478," 1,025", 409, 447, 459," 16,576"
,,,,,,,,,,,
,State Senate 3," 83,642"," 42,358"," 18,462"," 3,428", 478," 1,025", 409, 447, 459," 16,576"
,,,,,,,,,,,
,State Assembly 4," 83,642"," 42,358"," 18,462"," 3,428", 478," 1,025", 409, 447, 459," 16,576"
,,,,,,,,,,,
,State Board of Equalization 2," 83,642"," 42,358"," 18,462"," 3,428", 478," 1,025", 409, 447, 459," 16,576"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,American Canyon," 13,574"," 7,224"," 2,314", 447, 53, 113, 99, 90, 60," 3,174"
,Calistoga," 2,680"," 1,528", 428, 98, 14, 28, 9, 14, 8, 553
,Napa," 47,180"," 24,412"," 10,053"," 2,008", 297, 593, 238, 251, 265," 9,063"
,St. Helena," 3,450"," 1,848", 703, 126, 19, 38, 8, 14, 18, 676
,Yountville," 1,727", 898, 411, 73, 8, 13, 1, 8, 6, 309
,,,,,,,,,,,
,Unincorporated Area," 15,031"," 6,448"," 4,553", 676, 87, 240, 54, 70, 102," 2,801"
Napa Totals,," 83,642"," 42,358"," 18,462"," 3,428", 478," 1,025", 409, 447, 459," 16,576"
     Percent,,,50.64%,22.07%,4.10%,0.57%,1.23%,0.49%,0.53%,0.55%,19.82%
,,,,,,,,,,,
Nevada,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 16,454"," 7,268"," 4,743", 749, 201, 268, 82, 6, 775," 2,362"
,County Supervisorial 2," 16,112"," 4,829"," 7,065", 940, 86, 290, 52, 10, 579," 2,261"
,County Supervisorial 3," 13,142"," 5,230"," 4,172", 707, 118, 246, 84, 7, 543," 2,035"
,County Supervisorial 4," 15,608"," 5,440"," 5,867", 844, 166, 267, 80, 6, 681," 2,257"
,County Supervisorial 5," 12,966"," 6,501"," 2,446", 616, 116, 219, 46, 6, 606," 2,410"
,,,,,,,,,,,
,US Congressional 3," 74,282"," 29,268"," 24,293"," 3,856", 687," 1,290", 344, 35," 3,184"," 11,325"
,,,,,,,,,,,
,State Senate 1," 62,376"," 23,150"," 22,191"," 3,297", 585," 1,098", 302, 29," 2,634"," 9,090"
,State Senate 4," 11,906"," 6,118"," 2,102", 559, 102, 192, 42, 6, 550," 2,235"
,,,,,,,,,,,
,State Assembly 1," 74,282"," 29,268"," 24,293"," 3,856", 687," 1,290", 344, 35," 3,184"," 11,325"
,,,,,,,,,,,
,State Board of Equalization 1," 74,282"," 29,268"," 24,293"," 3,856", 687," 1,290", 344, 35," 3,184"," 11,325"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Grass Valley," 8,279"," 3,451"," 2,441", 460, 80, 153, 56, 4, 324," 1,310"
,Nevada City," 2,417"," 1,355", 400, 78, 44, 29, 16, 2, 113, 380
,Truckee," 11,469"," 5,940"," 2,004", 539, 93, 175, 40, 6, 529," 2,143"
,,,,,,,,,,,
,Unincorporated Area," 52,117"," 18,522"," 19,448"," 2,779", 470, 933, 232, 23," 2,218"," 7,492"
Nevada Totals,," 74,282"," 29,268"," 24,293"," 3,856", 687," 1,290", 344, 35," 3,184"," 11,325"
     Percent,,,39.40%,32.70%,5.19%,0.92%,1.74%,0.46%,0.05%,4.29%,15.25%
,,,,,,,,,,,
Orange,,,,,,,,,,,
  Districts,,,,,,,,,,,
,County Supervisorial 1," 380,134"," 128,322"," 142,462"," 14,793"," 1,404"," 4,655"," 1,997", 14," 1,077"," 85,410"
,County Supervisorial 2," 276,173"," 130,893"," 64,688"," 8,900"," 1,239"," 3,207"," 2,438", 7, 910," 63,891"
,County Supervisorial 3," 421,384"," 142,658"," 154,565"," 15,883"," 1,336"," 4,816"," 1,471", 7, 910," 99,738"
,County Supervisorial 4," 327,077"," 134,482"," 98,530"," 11,152"," 1,261"," 3,520"," 1,995", 14," 1,267"," 74,856"
,County Supervisorial 5," 420,967"," 140,837"," 159,914"," 18,888"," 1,538"," 5,803"," 1,429", 10," 1,246"," 91,302"
,,,,,,,,,,,
,US Congressional 38," 34,065"," 14,234"," 10,612"," 1,295", 129, 375, 193, 3, 116," 7,108"
,US Congressional 40," 449,075"," 150,352"," 173,536"," 18,296"," 1,512"," 5,541"," 1,632", 9," 1,037"," 97,160"
,US Congressional 45," 391,475"," 142,402"," 134,276"," 13,389"," 1,353"," 4,213"," 2,260", 17," 1,154"," 92,411"
,US Congressional 46," 337,972"," 162,105"," 77,182"," 10,556"," 1,498"," 3,686"," 3,029", 10," 1,378"," 78,528"
,US Congressional 47," 448,444"," 157,315"," 156,724"," 17,887"," 1,778"," 5,852"," 1,668", 11," 1,184"," 106,025"
,US Congressional 49," 164,704"," 50,784"," 67,829"," 8,193", 508," 2,334", 548, 2, 541," 33,965"
,,,,,,,,,,,
,State Senate 30," 30,187"," 10,366"," 11,481"," 1,087", 89, 350, 102, 1, 66," 6,645"
,State Senate 32," 48,882"," 12,967"," 23,388"," 1,879", 114, 533, 103, 1, 100," 9,797"
,State Senate 34," 397,183"," 187,238"," 93,706"," 12,459"," 1,671"," 4,264"," 3,410", 16," 1,597"," 92,822"
,State Senate 36," 575,567"," 191,462"," 220,368"," 23,463"," 2,089"," 7,189"," 2,681", 21," 1,698"," 126,596"
,State Senate 37," 595,042"," 217,913"," 199,430"," 22,808"," 2,255"," 7,367"," 2,423", 11," 1,471"," 141,364"
,State Senate 38," 178,874"," 57,246"," 71,786"," 7,920", 560," 2,298", 611, 2, 478," 37,973"
,,,,,,,,,,,
,State Assembly 59," 251,482"," 80,445"," 103,066"," 9,741", 755," 2,988", 831, 5, 616," 53,035"
,State Assembly 64," 34,065"," 14,234"," 10,612"," 1,295", 129, 375, 193, 3, 116," 7,108"
,State Assembly 67," 201,103"," 85,090"," 56,930"," 6,626", 797," 2,099"," 1,309", 11, 748," 47,493"
,State Assembly 68," 210,418"," 103,994"," 45,691"," 6,569", 963," 2,433"," 1,863", 3, 807," 48,095"
,State Assembly 70," 261,271"," 95,637"," 87,575"," 8,799", 921," 2,763"," 1,933", 12, 797," 62,834"
,State Assembly 71," 138,499"," 43,812"," 56,358"," 6,120", 421," 1,776", 437, 2, 361," 29,212"
,State Assembly 72," 335,718"," 109,861"," 132,685"," 14,738"," 1,239"," 4,552"," 1,135", 7, 880," 70,621"
,State Assembly 73," 256,770"," 101,914"," 71,196"," 8,786"," 1,103"," 3,047"," 1,170", 7, 626," 68,921"
,State Assembly 74," 136,409"," 42,205"," 56,046"," 6,942", 450," 1,968", 459, 2, 459," 27,878"
,,,,,,,,,,,
,State Board of Equalization 4," 1,825,735"," 677,192"," 620,159"," 69,616"," 6,778"," 22,001"," 9,330", 52," 5,410"," 415,197"
,,,,,,,,,,,
  Cities,,,,,,,,,,,
,Aliso Viejo," 32,060"," 11,851"," 10,605"," 1,425", 131, 488, 101, 2, 78," 7,379"
,Anaheim," 168,930"," 73,174"," 47,122"," 5,728", 652," 1,807"," 1,255", 6, 658," 38,528"
,Brea," 29,621"," 10,223"," 11,183"," 1,078", 89, 338, 103, 1, 64," 6,542"
,Buena Park," 44,569"," 18,519"," 12,792"," 1,409", 157, 452, 266, 3, 138," 10,833"
,Costa Mesa," 60,865"," 22,386"," 20,240"," 2,737", 321," 1,072", 298, 1, 236," 13,574"
,Cypress," 31,200"," 11,511"," 10,576"," 1,143", 124, 337, 124, 1, 74," 7,310"
,Dana Point," 23,758"," 7,264"," 9,911"," 1,247", 89, 370, 72, 0, 102," 4,703"
,Fountain Valley," 37,983"," 12,313"," 14,810"," 1,388", 129, 417, 169, 1, 71," 8,685"
,Fullerton," 78,006"," 31,179"," 24,396"," 2,643", 321, 902, 403, 2, 389," 17,771"
,Garden Grove," 91,197"," 34,351"," 29,156"," 2,910", 313, 936, 721, 4, 321," 22,485"
,Huntington Beach," 132,751"," 41,104"," 54,457"," 6,143", 548," 2,037", 506, 4, 410," 27,542"
,Irvine," 153,700"," 62,149"," 39,260"," 4,570", 588," 1,474", 627, 3, 296," 44,733"
,La Habra," 34,065"," 14,234"," 10,612"," 1,295", 129, 375, 193, 3, 116," 7,108"
,La Palma," 9,820"," 3,879"," 3,179", 289, 29, 78, 33, 1, 14," 2,318"
,Laguna Beach," 17,788"," 7,620"," 5,067", 864, 93, 250, 66, 1, 67," 3,760"
,Laguna Hills," 19,917"," 6,848"," 7,254", 809, 81, 260, 92, 0, 48," 4,525"
,Laguna Niguel," 44,874"," 14,983"," 16,998"," 2,254", 142, 632, 178, 0, 105," 9,582"
,Laguna Woods," 15,126"," 6,235"," 5,254", 569, 32, 75, 38, 0, 15," 2,908"
,Lake Forest," 53,895"," 19,000"," 19,260"," 2,185", 199, 687, 255, 0, 144," 12,165"
,Los Alamitos," 7,208"," 2,620"," 2,592", 312, 38, 103, 31, 0, 12," 1,500"
